"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0AD10","2020-04-12 00:00:00","27.000","222.000","2.000","18.500","1.000","1011.600","","13.000","-99.000","-99.000","-99.000","23.900","","17.100",""
"C0M720","2020-04-12 00:00:00","225.000","318.000","1.800","19.100","0.990","988.400","","0.000","-99.000","-99.000","-99.000","26.400","","18.700",""
"C0V450","2020-04-12 00:00:00","51.000","344.000","2.800","22.900","0.750","1007.200","","0.000","-99.000","-99.000","-99.000","28.000","","19.100",""
"C0R280","2020-04-12 00:00:00","242.000","212.000","1.100","22.200","0.740","984.700","","0.000","-99.000","-99.000","-99.000","26.600","","18.200",""
"C0E610","2020-04-12 00:00:00","850.000","353.000","0.600","14.400","0.960","920.800","","13.500","-99.000","-99.000","-99.000","19.200","","14.400",""
"C0V610","2020-04-12 00:00:00","22.000","356.000","2.800","23.000","0.820","1011.000","","0.000","-99.000","-99.000","-99.000","26.700","","21.100",""
"C0Z310","2020-04-12 00:00:00","59.000","338.000","0.900","20.600","0.990","1006.800","","0.000","-99.000","-99.000","-99.000","24.600","","19.100",""
"C0S700","2020-04-12 00:00:00","507.000","223.000","0.500","17.900","0.990","956.300","","0.000","-99.000","-99.000","-99.000","22.100","","15.200",""
"C0T9G0","2020-04-12 00:00:00","605.000","0.000","0.000","17.300","1.000","946.900","","0.500","-99.000","-99.000","-99.000","21.900","","16.200",""
"C0U520","2020-04-12 00:00:00","517.000","249.000","1.000","15.400","0.990","957.400","","5.000","-99.000","-99.000","-99.000","24.200","","14.900",""
"C0R810","2020-04-12 00:00:00","25.000","328.000","2.500","24.200","0.740","1010.300","","0.000","-99.000","-99.000","-99.000","26.400","","20.300",""
"C0G660","2020-04-12 00:00:00","27.000","19.000","1.000","20.100","0.990","1012.800","","1.000","-99.000","-99.000","-99.000","26.700","","19.200",""
"C0C690","2020-04-12 00:00:00","242.000","331.000","0.800","16.700","0.890","986.900","","14.000","-99.000","-99.000","-99.000","22.000","","15.800",""
"C0A540","2020-04-12 00:00:00","401.000","0.000","0.000","15.600","1.000","967.800","","13.000","-99.000","-99.000","-99.000","22.200","","15.600",""
"C0SA60","2020-04-12 00:00:00","6.000","349.000","1.100","22.000","0.840","1010.700","","0.000","-99.000","-99.000","-99.000","26.300","","18.100",""
"C0H950","2020-04-12 00:00:00","192.000","0.000","0.200","19.500","0.990","992.600","","2.000","-99.000","-99.000","-99.000","26.300","","16.400",""
"C0O960","2020-04-12 00:00:00","112.000","10.000","1.700","20.600","0.880","1000.000","","0.000","-99.000","-99.000","-99.000","29.100","","18.100",""
"C0E880","2020-04-12 00:00:00","507.000","31.000","0.900","16.200","0.990","957.300","","9.500","-99.000","-99.000","-99.000","21.300","","15.600",""
"C0AH10","2020-04-12 00:00:00","30.000","269.000","2.200","18.900","1.000","1011.000","","14.000","-99.000","-99.000","-99.000","24.300","","18.100",""
"C0R820","2020-04-12 00:00:00","588.000","330.000","1.200","19.900","0.830","948.000","","0.000","-99.000","-99.000","-99.000","27.600","","16.500",""
"C0R680","2020-04-12 00:00:00","13.000","278.000","3.900","24.100","0.740","1010.900","","0.000","-99.000","-99.000","-99.000","27.400","","21.600",""
"C0X210","2020-04-12 00:00:00","38.000","51.000","1.700","21.300","0.910","1008.000","","0.000","-99.000","-99.000","-99.000","27.900","","18.300",""
"C0D430","2020-04-12 00:00:00","87.000","0.000","0.000","17.800","1.000","1004.500","","23.000","-99.000","-99.000","-99.000","22.700","","16.300",""
"C0AD30","2020-04-12 00:00:00","20.000","241.000","1.200","19.100","0.910","1010.600","","12.000","-99.000","-99.000","-99.000","24.100","","17.700",""
"C0R240","2020-04-12 00:00:00","87.000","0.000","0.200","22.400","0.860","1002.600","","0.000","-99.000","-99.000","-99.000","29.500","","18.300",""
"C0AI30","2020-04-12 00:00:00","26.000","239.000","0.900","18.700","0.990","1012.800","","11.500","-99.000","-99.000","-99.000","23.800","","17.800",""
"C0U960","2020-04-12 00:00:00","1885.000","4.000","2.300","10.700","0.990","813.200","","4.000","-99.000","-99.000","-99.000","14.200","","6.300",""
"C0T9E0","2020-04-12 00:00:00","415.000","150.000","0.400","18.100","0.930","967.000","","0.000","-99.000","-99.000","-99.000","23.700","","16.700",""
"C0D550","2020-04-12 00:00:00","1956.000","0.000","0.000","9.800","0.970","810.700","","14.500","-99.000","-99.000","-99.000","15.400","","9.400",""
"C0C630","2020-04-12 00:00:00","209.000","188.000","1.900","16.900","0.940","991.300","","20.500","-99.000","-99.000","-99.000","22.500","","16.400",""
"C0F9N0","2020-04-12 00:00:00","75.000","6.000","0.900","20.300","0.930","1005.900","","2.500","-99.000","-99.000","-99.000","26.900","","20.300",""
"C0V370","2020-04-12 00:00:00","74.000","9.000","0.500","21.200","0.900","1005.800","","0.000","-99.000","-99.000","-99.000","29.600","","17.500",""
"C0I110","2020-04-12 00:00:00","161.000","311.000","0.500","20.800","0.950","996.700","","3.000","-99.000","-99.000","-99.000","27.500","","18.700",""
"C0M750","2020-04-12 00:00:00","10.000","13.000","3.000","21.300","0.840","1012.900","","0.000","-99.000","-99.000","-99.000","26.400","","19.500",""
"C0R340","2020-04-12 00:00:00","230.000","294.000","0.900","22.500","0.710","985.800","","0.000","-99.000","-99.000","-99.000","26.800","","17.100",""
"C0R750","2020-04-12 00:00:00","551.000","293.000","3.300","19.100","0.880","950.200","","0.000","-99.000","-99.000","-99.000","24.700","","17.100",""
"C0SA90","2020-04-12 00:00:00","497.000","310.000","1.500","21.000","0.780","955.400","","0.000","-99.000","-99.000","-99.000","24.000","","16.900",""
"C0U970","2020-04-12 00:00:00","7.000","40.000","2.200","19.600","0.790","1014.000","","3.000","-99.000","-99.000","-99.000","24.900","","18.400",""
"C0X300","2020-04-12 00:00:00","70.000","121.000","0.600","20.800","0.910","1005.900","","0.000","-99.000","-99.000","-99.000","28.000","","17.200",""
"C0R480","2020-04-12 00:00:00","57.000","21.000","1.900","22.700","0.840","1006.100","","0.000","-99.000","-99.000","-99.000","29.700","","20.100",""
"C0A9E0","2020-04-12 00:00:00","26.000","263.000","0.600","18.600","0.930","1012.600","","13.000","-99.000","-99.000","-99.000","24.300","","17.400",""
"C0R590","2020-04-12 00:00:00","72.000","3.000","3.600","22.100","0.990","1004.900","","0.000","-99.000","-99.000","-99.000","29.200","","19.800",""
